hostel_id,hostel_name,hostel_type,verified,year_established,area,city,hostel_address,latitude,longitude,distance_from_fast_km,transport_nearby,price_tier,single_room_price,double_room_price,dorm_room_price,electricity_included,electricity_bill_est,meal_included,food_type,food_rating,room_types_available,total_rooms,capacity,available_rooms,amenities,has_wifi,has_gym,has_study_room,has_cafeteria,has_laundry,has_ac,has_generator,has_security_guard,has_cctv,has_hot_water,has_library,has_parking,has_prayer_room,has_common_room,internet_speed_mbps,noise_level,curfew_hour,study_environment_score,overall_rating,cleanliness_rating,security_rating,management_rating,warden_responsiveness,total_reviews,warden_contact_phone
HST-011,Sidra Girls Lodge,Girls,1,2007,G-13,Islamabad,"House 39, College Road, G-13, Islamabad",33.656725,73.022524,2.83,1,Budget,10982,8445,4633,0,420,1,Non-Veg,4.6,"[""Single"", ""Double"", ""Triple""]",28,84,19,"[""Cafeteria"", ""Library"", ""Study Room"", ""Security Guard"", ""Rooftop Access""]",0,0,1,1,0,0,0,1,0,0,1,0,0,0,15,4,22,0.76,3.8,4.8,4.0,3.4,1.5,65,0348-1448345
HST-012,Amna Residence,Girls,1,2022,Korang Town,Islamabad,"House 191, College Road, Korang Town, Islamabad",33.636492,73.09246,3.97,1,Mid-Range,20576,9823,7928,1,0,0,None,,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",17,34,8,"[""Security Guard"", ""Parking"", ""Prayer Room"", ""Microwave"", ""Refrigerator"", ""Hot Water"", ""Generator"", ""CCTV"", ""WiFi"", ""Common Room"", ""Laundry""]",1,0,0,0,1,0,1,1,1,1,0,1,1,1,25,4,20,0.25,4.1,4.9,4.7,3.6,2.0,149,0337-7655623
HST-013,Umm-e-Hani Hostel,Girls,1,2018,E-11,Islamabad,"House 134, Street 7, E-11, Islamabad",33.728095,72.953138,4.75,1,Premium,38639,19804,12838,1,0,1,Veg,2.0,"[""Single"", ""Double"", ""Dormitory""]",46,92,18,"[""Parking"", ""Security Guard"", ""Study Room"", ""Common Room"", ""Lounge"", ""Generator"", ""Gym"", ""Iron"", ""AC"", ""Hot Water"", ""Rooftop Access"", ""Library"", ""Water Cooler"", ""Laundry"", ""Refrigerator""]",0,1,1,0,1,1,1,1,0,1,1,1,0,1,100,5,20,0.74,4.5,3.8,4.4,4.8,2.1,8,0319-9551881
HST-014,Ruqayya Girls Inn,Girls,0,2021,PWD,Islamabad,"House 39, Park Road, PWD, Islamabad",33.603782,73.07257,4.54,1,Mid-Range,21865,13533,9165,0,667,0,None,,"[""Single"", ""Double"", ""Dormitory""]",26,52,1,"[""WiFi"", ""Hot Water"", ""AC"", ""Prayer Room"", ""Parking"", ""Common Room"", ""Study Room"", ""CCTV"", ""Microwave"", ""Gym""]",1,1,1,0,0,1,0,0,1,1,0,1,1,1,25,2,22,0.64,4.1,3.9,3.6,4.8,3.5,130,0314-4463351
HST-015,Tahira Hostel,Girls,0,2019,DHA Phase 2,Islamabad,"House 183, Main Boulevard, DHA Phase 2, Islamabad",33.550796,72.938416,5.63,1,Mid-Range,19090,12445,8935,0,594,0,None,,"[""Single"", ""Double"", ""Triple""]",10,30,9,"[""Study Room"", ""Generator"", ""Parking"", ""Gym"", ""Library"", ""Refrigerator"", ""Iron"", ""Common Room"", ""Laundry""]",0,1,1,0,1,0,1,0,0,0,1,1,0,1,15,2,23,0.73,4.0,4.7,4.8,2.7,4.0,82,0317-4982588
HST-016,Nimra Girls Lodge,Girls,1,2006,I-10,Islamabad,"House 7, Street 7, I-10, Islamabad",33.652205,73.045623,3.02,1,Mid-Range,13918,11797,9410,0,673,0,None,,"[""Single"", ""Double"", ""Dormitory""]",46,184,12,"[""Parking"", ""Common Room"", ""Gym"", ""Laundry"", ""Prayer Room"", ""Library"", ""Study Room"", ""Microwave"", ""Security Guard""]",0,1,1,0,1,0,0,1,0,0,1,1,1,1,15,3,21,0.76,3.9,4.0,4.4,3.6,2.3,125,0315-6196467
HST-017,Safia Girls Residency,Girls,1,2005,H-11,Islamabad,"House 94, Street 12, H-11, Islamabad",33.641175,72.990053,0.49,1,Budget,10397,7630,6870,1,0,0,Non-Veg,4.9,"[""Single"", ""Double"", ""Triple""]",20,60,4,"[""Cafeteria"", ""Generator"", ""Refrigerator"", ""Iron"", ""AC"", ""Microwave"", ""Common Room"", ""Hot Water""]",0,0,0,1,0,1,1,0,0,1,0,0,0,1,15,5,21,0.09,3.9,4.3,3.8,4.3,1.3,134,0345-2416012
HST-018,Hafsa Inn,Girls,1,2005,Gulberg,Islamabad,"House 17, College Road, Gulberg, Islamabad",33.621846,73.075879,4.81,1,Budget,10958,7943,6038,0,504,1,Veg,4.4,"[""Single"", ""Double""]",47,94,14,"[""Hot Water"", ""Iron"", ""Water Cooler"", ""Generator"", ""Refrigerator"", ""Lounge"", ""Cafeteria""]",0,0,0,1,0,0,1,0,0,1,0,0,0,0,15,3,20,0.04,3.7,3.4,4.7,3.5,2.5,57,0342-7509590
HST-019,Sumayya Girls Hostel,Girls,0,2014,I-10,Islamabad,"House 135, Street 7, I-10, Islamabad",33.64729,73.050428,3.25,1,Mid-Range,18567,14742,8692,0,630,0,None,,"[""Single"", ""Double"", ""Dormitory""]",35,105,7,"[""Prayer Room"", ""Generator"", ""Gym"", ""AC"", ""Water Cooler"", ""Library"", ""Parking"", ""Iron"", ""Refrigerator"", ""Common Room"", ""Microwave""]",0,1,0,0,0,1,1,0,0,0,1,1,1,1,25,4,23,0.36,3.6,4.4,2.5,4.0,2.7,94,0336-9357956
HST-020,Asma Girls Lodge,Girls,1,2022,PWD,Islamabad,"House 111, Street 4, PWD, Islamabad",33.60115,73.074119,4.61,1,Mid-Range,16531,13451,10055,0,727,1,Both,3.1,"[""Single"", ""Double"", ""Triple""]",35,140,16,"[""Iron"", ""Hot Water"", ""Laundry"", ""Gym"", ""Refrigerator"", ""Common Room"", ""Prayer Room""]",0,1,0,0,1,0,0,0,0,1,0,0,1,1,15,4,20,0.04,3.8,4.5,4.0,2.8,3.3,112,0320-5661029
HST-021,Lubna Residence,Girls,0,2014,DHA Phase 2,Islamabad,"House 88, Street 20, DHA Phase 2, Islamabad",33.546409,72.936764,5.6,1,Budget,12380,6062,5002,1,0,0,Non-Veg,2.9,"[""Single"", ""Double""]",13,39,1,"[""Rooftop Access"", ""Laundry"", ""Study Room"", ""Security Guard"", ""Water Cooler"", ""Cafeteria"", ""Hot Water""]",0,0,1,1,1,0,0,1,0,1,0,0,0,0,10,3,22,0.43,3.6,3.8,3.7,3.7,2.6,91,0310-6517366
HST-022,Razia Girls Hostel,Girls,0,2007,I-8,Islamabad,"House 57, Street 1, I-8, Islamabad",33.666562,73.06216,3.03,1,Budget,10490,7790,4327,1,0,0,None,,"[""Single"", ""Double"", ""Triple""]",14,28,4,"[""Hot Water"", ""WiFi"", ""Generator"", ""Refrigerator""]",1,0,0,0,0,0,1,0,0,1,0,0,0,0,15,1,22,0.26,3.9,4.7,4.1,4.3,2.6,141,0329-7918889
HST-023,Zubaida Inn,Girls,1,2012,H-13,Islamabad,"House 24, Sector Road, H-13, Islamabad",33.633611,73.007195,1.68,1,Budget,10679,8106,4127,0,314,0,None,,"[""Single"", ""Double"", ""Dormitory""]",30,60,6,"[""Security Guard"", ""Rooftop Access"", ""WiFi"", ""Common Room""]",1,0,0,0,0,0,0,1,0,0,0,0,0,1,10,2,21,0.28,3.6,4.1,4.6,3.0,3.3,149,0336-7790968
HST-024,Salma Girls Lodge,Girls,1,2022,Bahria Town,Islamabad,"House 54, Street 4, Bahria Town, Islamabad",33.529044,72.922709,6.04,0,Mid-Range,15866,13788,10363,0,548,0,Both,4.9,"[""Single"", ""Double"", ""Dormitory""]",49,196,5,"[""Hot Water"", ""Prayer Room"", ""AC"", ""Iron"", ""Rooftop Access"", ""Security Guard"", ""WiFi"", ""Common Room"", ""Cafeteria""]",1,0,0,1,0,1,0,1,0,1,0,0,1,1,15,1,20,0.22,3.6,3.7,3.4,3.4,3.4,23,0334-2324070
HST-025,Nadia Girls Residency,Girls,1,2007,F-10,Islamabad,"House 57, University Road, F-10, Islamabad",33.695916,72.974173,2.81,1,Mid-Range,20982,13107,8341,0,663,1,Both,2.9,"[""Single"", ""Double""]",48,96,1,"[""Gym"", ""Refrigerator"", ""Study Room"", ""Microwave"", ""Rooftop Access"", ""Water Cooler"", ""Prayer Room""]",0,1,1,0,0,0,0,0,0,0,0,0,1,0,50,3,21,0.46,4.4,4.9,3.7,4.7,4.5,112,0326-8429645
HST-026,Fozia Girls Hostel,Girls,1,2008,I-8,Islamabad,"House 141, College Road, I-8, Islamabad",33.668153,73.060395,3.13,1,Mid-Range,21684,14545,8131,0,626,1,Both,2.7,"[""Single"", ""Double"", ""Dormitory""]",10,30,4,"[""Hot Water"", ""Refrigerator"", ""CCTV"", ""Iron"", ""Laundry"", ""Common Room"", ""Water Cooler"", ""Lounge"", ""Parking"", ""AC"", ""Cafeteria"", ""WiFi""]",1,0,0,1,1,1,0,0,1,1,0,1,0,1,50,1,23,0.26,3.2,3.2,3.2,3.1,4.1,128,0324-9555080
HST-027,Yasmeen Inn,Girls,1,2013,F-11,Islamabad,"House 153, Street 4, F-11, Islamabad",33.714823,72.963842,3.68,1,Mid-Range,18690,14703,10731,0,772,1,Non-Veg,4.3,"[""Single"", ""Double"", ""Triple""]",13,52,11,"[""Study Room"", ""Water Cooler"", ""Microwave"", ""Security Guard"", ""Refrigerator"", ""Iron"", ""Prayer Room"", ""Generator"", ""Common Room"", ""Lounge"", ""Cafeteria"", ""CCTV""]",0,0,1,1,0,0,1,1,1,0,0,0,1,1,25,1,20,0.45,3.7,4.5,3.1,3.1,2.9,80,0323-4229028
HST-028,Shabnam Girls Lodge,Girls,1,2015,Bahria Town,Islamabad,"House 124, Commercial Avenue, Bahria Town, Islamabad",33.533095,72.921552,6.14,0,Budget,11972,7199,5625,1,0,0,None,,"[""Single"", ""Double""]",45,90,18,"[""Study Room"", ""Generator"", ""AC"", ""WiFi"", ""CCTV"", ""Rooftop Access"", ""Library""]",1,0,1,0,0,1,1,0,1,0,1,0,0,0,5,1,20,0.92,4.2,4.7,4.3,4.6,4.5,142,0336-8393979
HST-029,Gulnaz Residence,Girls,1,2016,DHA Phase 2,Islamabad,"House 77, Street 4, DHA Phase 2, Islamabad",33.547286,72.944087,5.2,1,Mid-Range,13294,10985,8247,0,512,0,None,,"[""Single"", ""Double"", ""Dormitory""]",38,152,0,"[""WiFi"", ""Rooftop Access"", ""Microwave"", ""Common Room"", ""Library"", ""Water Cooler"", ""Parking"", ""Study Room""]",1,0,1,0,0,0,0,0,0,0,1,1,0,1,50,2,21,0.93,3.3,3.4,4.1,2.6,2.3,83,0321-6068002
HST-030,Parveen Girls Hostel,Girls,1,2012,G-11,Islamabad,"House 29, Street 4, G-11, Islamabad",33.657525,72.97501,1.63,0,Premium,28540,15038,14342,1,0,1,Non-Veg,3.0,"[""Single"", ""Double""]",25,75,17,"[""Hot Water"", ""Prayer Room"", ""Microwave"", ""Lounge"", ""Iron"", ""Common Room"", ""AC"", ""Generator"", ""Cafeteria"", ""Parking"", ""WiFi"", ""Gym""]",1,1,0,1,0,1,1,0,0,1,0,1,1,1,50,2,22,0.28,4.2,3.0,4.7,4.3,4.0,135,0336-9296877
HST-031,Shazia Girls Inn,Girls,0,2005,Gulberg,Islamabad,"House 148, Street 7, Gulberg, Islamabad",33.616312,73.075325,5.44,0,Mid-Range,16224,11253,9502,1,0,1,Veg,3.7,"[""Single"", ""Double"", ""Dormitory""]",42,126,6,"[""Generator"", ""Water Cooler"", ""Security Guard"", ""Common Room"", ""Gym"", ""Hot Water"", ""Microwave"", ""Study Room"", ""Iron"", ""AC""]",0,1,1,0,0,1,1,1,0,1,0,0,0,1,15,2,23,0.43,3.5,3.0,3.4,4.4,1.5,107,0311-9284960
HST-032,Muskan Residency,Girls,1,2023,Bahria Town,Islamabad,"House 172, Main Boulevard, Bahria Town, Islamabad",33.531895,72.923006,5.86,1,Budget,8316,7986,4634,1,0,0,Both,2.2,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",17,51,4,"[""Cafeteria"", ""WiFi"", ""AC"", ""Gym""]",1,1,0,1,0,1,0,0,0,0,0,0,0,0,10,4,20,0.23,3.3,2.9,4.7,3.0,5.0,109,0338-3731638
HST-033,Rukhsana Hostel,Girls,1,2009,DHA Phase 2,Islamabad,"House 191, Street 20, DHA Phase 2, Islamabad",33.551503,72.936995,5.74,1,Budget,8902,7355,6909,0,223,1,Non-Veg,3.4,"[""Single"", ""Double"", ""Triple""]",23,46,14,"[""WiFi"", ""Lounge"", ""Parking"", ""Security Guard"", ""Gym"", ""Water Cooler"", ""Generator""]",1,1,0,0,0,0,1,1,0,0,0,1,0,0,10,2,23,0.23,3.8,4.4,3.5,4.0,3.4,88,0323-4850241
HST-034,Fariha Girls Lodge,Girls,1,2005,H-13,Islamabad,"House 66, Sector Road, H-13, Islamabad",33.625953,73.011521,1.15,1,Premium,32238,20543,15555,1,0,1,Both,3.1,"[""Single"", ""Double"", ""Dormitory""]",29,87,4,"[""Iron"", ""Generator"", ""Laundry"", ""Lounge"", ""Common Room"", ""Parking"", ""Refrigerator"", ""Study Room"", ""Cafeteria"", ""WiFi"", ""AC"", ""Rooftop Access"", ""Prayer Room"", ""Microwave"", ""Security Guard"", ""CCTV""]",1,0,1,1,1,1,1,1,1,0,0,1,1,1,50,4,22,0.69,4.2,4.3,3.6,4.7,4.7,73,0323-9061896
HST-035,Mehwish Inn,Girls,0,2005,H-11,Islamabad,"House 43, Street 15, H-11, Islamabad",33.646172,72.988216,0.32,1,Budget,12312,7208,5246,0,377,0,None,,"[""Single"", ""Double""]",17,51,15,"[""Refrigerator"", ""Study Room"", ""Gym"", ""Library"", ""Rooftop Access"", ""AC"", ""CCTV""]",0,1,1,0,0,1,0,0,1,0,1,0,0,0,15,4,22,0.8,3.8,4.0,4.7,3.9,3.6,94,0334-9704813
HST-036,Sawera Girls Hostel,Girls,1,2006,PWD,Islamabad,"House 161, College Road, PWD, Islamabad",33.601578,73.074994,4.54,1,Mid-Range,19924,11632,10828,0,858,1,Non-Veg,4.1,"[""Single"", ""Double"", ""Dormitory""]",44,176,7,"[""Prayer Room"", ""Microwave"", ""Hot Water"", ""Cafeteria"", ""Common Room"", ""Library"", ""Water Cooler"", ""Parking"", ""WiFi"", ""Iron"", ""Generator""]",1,0,0,1,0,0,1,0,0,1,1,1,1,1,15,2,22,0.54,3.3,3.1,3.4,3.1,3.1,121,0317-2048173
HST-037,Samina Residency,Girls,0,2011,Gulberg,Islamabad,"House 44, Street 15, Gulberg, Islamabad",33.618412,73.078802,5.02,1,Mid-Range,21234,9943,9390,0,763,0,Both,3.6,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",39,156,16,"[""Lounge"", ""Parking"", ""WiFi"", ""Generator"", ""Common Room"", ""Security Guard"", ""Hot Water"", ""Laundry"", ""Prayer Room"", ""CCTV"", ""Cafeteria""]",1,0,0,1,1,0,1,1,1,1,0,1,1,1,25,2,20,0.24,4.2,4.3,3.5,4.9,3.3,46,0320-7143326
HST-038,Uzma Girls Lodge,Girls,1,2015,I-10,Islamabad,"House 172, Street 1, I-10, Islamabad",33.654629,73.049835,3.54,1,Budget,10938,8188,6934,0,413,1,Both,3.4,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",46,138,12,"[""Common Room"", ""Security Guard"", ""Rooftop Access"", ""Generator"", ""CCTV""]",0,0,0,0,0,0,1,1,1,0,0,0,0,1,5,1,21,0.06,3.8,4.3,4.7,3.0,3.4,6,0324-7980571
HST-039,Ali Boys Hostel,Boys,1,2016,G-11,Islamabad,"House 169, Main Boulevard, G-11, Islamabad",33.66097,72.981758,1.85,0,Mid-Range,15349,12602,8603,1,0,0,None,,"[""Single"", ""Double"", ""Dormitory""]",12,24,2,"[""Hot Water"", ""Water Cooler"", ""Laundry"", ""Prayer Room"", ""Common Room"", ""Microwave"", ""Iron"", ""Generator"", ""Security Guard"", ""CCTV"", ""Library"", ""Refrigerator""]",0,0,0,0,1,0,1,1,1,1,1,0,1,1,25,5,23,0.38,4.1,4.7,4.1,3.8,3.9,34,0331-7520645
HST-040,Umar Residence,Boys,1,2008,G-13,Islamabad,"House 55, College Road, G-13, Islamabad",33.650601,73.020623,2.97,0,Mid-Range,15493,9632,9102,0,799,1,Both,4.3,"[""Single"", ""Double"", ""Triple""]",36,108,2,"[""Library"", ""Hot Water"", ""Rooftop Access"", ""Common Room"", ""Laundry"", ""Generator"", ""Lounge"", ""Security Guard"", ""Water Cooler"", ""AC""]",0,0,0,0,1,1,1,1,0,1,1,0,0,1,15,5,23,0.36,3.4,3.3,3.2,3.4,4.1,147,0318-9210880
HST-041,Usman Boys Inn,Boys,0,2016,F-11,Islamabad,"House 42, Street 1, F-11, Islamabad",33.710666,72.95891,3.6,0,Mid-Range,18548,10826,10229,0,861,1,Both,4.5,"[""Single"", ""Double"", ""Dormitory""]",13,26,3,"[""CCTV"", ""Parking"", ""Prayer Room"", ""Microwave"", ""Generator"", ""Cafeteria"", ""WiFi"", ""Hot Water"", ""Lounge"", ""Common Room""]",1,0,0,1,0,0,1,0,1,1,0,1,1,1,25,5,23,0.26,3.9,4.6,4.2,2.8,2.8,64,0334-9944718
HST-042,Hassan Boys Lodge,Boys,0,2009,Korang Town,Islamabad,"House 151, Sector Road, Korang Town, Islamabad",33.636408,73.08716,4.0,1,Budget,9953,8825,6392,1,0,0,None,,"[""Single"", ""Double""]",36,72,1,"[""Prayer Room"", ""Laundry"", ""Parking"", ""CCTV""]",0,0,0,0,1,0,0,0,1,0,0,1,1,0,15,3,0,0.05,3.7,4.5,3.5,4.1,1.5,83,0337-6008341
HST-043,Hussain Hostel,Boys,1,2021,F-10,Islamabad,"House 13, Street 1, F-10, Islamabad",33.702603,72.966371,3.13,0,Budget,8241,8540,6385,0,387,1,Both,3.3,"[""Single"", ""Double"", ""Dormitory""]",43,172,12,"[""Prayer Room"", ""Security Guard"", ""Generator"", ""Library"", ""Hot Water"", ""WiFi"", ""Refrigerator"", ""Water Cooler""]",1,0,0,0,0,0,1,1,0,1,1,0,1,0,5,3,0,0.56,3.4,2.6,4.8,3.7,1.6,91,0317-3518970
HST-044,Talha Boys Hostel,Boys,1,2012,F-10,Islamabad,"House 109, Street 1, F-10, Islamabad",33.695478,72.96538,3.3,1,Premium,24711,16668,11147,1,0,0,Both,4.3,"[""Single"", ""Double"", ""Dormitory""]",34,68,15,"[""WiFi"", ""Lounge"", ""Prayer Room"", ""Parking"", ""Laundry"", ""Refrigerator"", ""CCTV"", ""AC"", ""Cafeteria"", ""Hot Water"", ""Microwave"", ""Rooftop Access"", ""Common Room"", ""Iron"", ""Generator"", ""Gym""]",1,1,0,1,1,1,1,0,1,1,0,1,1,1,100,4,23,0.26,3.6,4.2,2.5,3.1,4.2,128,0319-8899284
HST-045,Bilal Residency,Boys,1,2023,H-13,Islamabad,"House 153, Main Boulevard, H-13, Islamabad",33.626281,73.008383,1.64,1,Budget,12941,8171,6837,1,0,1,Veg,2.4,"[""Single"", ""Double""]",46,138,6,"[""Hot Water"", ""Microwave"", ""Security Guard"", ""WiFi""]",1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,5,23,0.28,3.6,3.0,3.8,4.6,3.3,29,0342-3353847
HST-046,Saad Boys Inn,Boys,1,2012,F-10,Islamabad,"House 108, Street 1, F-10, Islamabad",33.696601,72.969616,2.71,1,Mid-Range,13448,14602,8247,0,890,0,Both,4.5,"[""Single"", ""Double"", ""Dormitory""]",44,132,5,"[""Parking"", ""Gym"", ""Cafeteria"", ""Microwave"", ""Lounge"", ""Rooftop Access"", ""WiFi"", ""Common Room"", ""Library"", ""Hot Water"", ""CCTV""]",1,1,0,1,0,0,0,0,1,1,1,1,0,1,25,2,23,0.57,3.6,2.8,3.5,4.1,1.7,61,0335-4868452
HST-047,Hamza Hostel,Boys,1,2013,Gulberg,Islamabad,"House 80, Street 7, Gulberg, Islamabad",33.61593,73.080882,5.08,0,Budget,10947,8813,6583,1,0,0,None,,"[""Single"", ""Double""]",36,72,19,"[""Microwave"", ""Water Cooler"", ""Iron"", ""Library"", ""Laundry"", ""Parking""]",0,0,0,0,1,0,0,0,0,0,1,1,0,0,10,4,0,0.34,3.4,3.2,2.9,4.1,2.4,54,0324-5835451
HST-048,Khalid Boys Lodge,Boys,1,2014,G-11,Islamabad,"House 81, Street 20, G-11, Islamabad",33.655262,72.975242,2.17,0,Premium,39833,23738,16017,1,0,1,Non-Veg,4.8,"[""Single"", ""Double"", ""Dormitory"", ""Triple""]",37,111,11,"[""Lounge"", ""AC"", ""Water Cooler"", ""Security Guard"", ""Library"", ""Prayer Room"", ""Parking"", ""WiFi"", ""Gym"", ""Laundry"", ""Common Room"", ""Generator"", ""Iron"", ""Microwave""]",1,1,0,0,1,1,1,1,0,0,1,1,1,1,50,3,0,0.57,3.3,3.2,2.6,2.6,1.6,111,0323-1486799
HST-049,Anas Residence,Boys,1,2010,G-13,Islamabad,"House 161, Street 4, G-13, Islamabad",33.656197,73.02062,2.48,1,Mid-Range,13671,10171,8495,1,0,1,Non-Veg,2.8,"[""Single"", ""Double""]",48,144,0,"[""Laundry"", ""AC"", ""CCTV"", ""Water Cooler"", ""Common Room"", ""Study Room"", ""Prayer Room"", ""Library"", ""Rooftop Access"", ""Iron""]",0,0,1,0,1,1,0,0,1,0,1,0,1,1,50,2,0,0.77,3.8,3.8,2.8,4.7,2.7,9,0331-9433840
