complaint_id,student_id,hostel_id,complaint_text,category,subcategory,priority,ai_suggestion,status
CMP-2025-2612,STU-180,HST-073,AC not cooling properly in Room 221.,Maintenance,Door/Window,Low,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-7141,STU-131,HST-037,Common washroom is very dirty and smelly.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-2293,STU-055,HST-055,Security guard uses offensive language.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-1153,STU-129,HST-047,Warden threatened to fine for a minor rule.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-5097,STU-016,HST-030,Unexplained deduction from rent.,Billing/Payment Dispute,Deposit Refund,Low,Review charges with account; provide receipt.,Submitted
CMP-2026-5847,STU-117,HST-010,Food bill is higher than agreed.,Billing/Payment Dispute,Deposit Refund,High,Review charges with account; provide receipt.,Submitted
CMP-2024-9138,STU-012,HST-031,My phone went missing from study room.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,In Progress
CMP-2026-3240,STU-159,HST-032,Feeling unsafe due to unverified visitors.,Safety/Security,Unauthorized Entry,Medium,Investigate immediately; if serious call police.,Acknowledged
CMP-2025-6352,STU-184,HST-052,"Mosquitoes everywhere, no nets provided.",Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-5210,STU-079,HST-011,Security guard uses offensive language.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Resolved
CMP-2026-7511,STU-059,HST-013,Double charged for this month's rent.,Billing/Payment Dispute,Deposit Refund,High,Review charges with account; provide receipt.,Resolved
CMP-2026-5295,STU-119,HST-037,I want to change my room.,Other,Room Change,Low,Review student request and respond within 48 hours.,Submitted
CMP-2025-4626,STU-093,HST-041,Cook refuses to serve extra roti.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Resolved
CMP-2025-2902,STU-190,HST-045,"Mosquitoes everywhere, no nets provided.",Cleanliness,Pest Control,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-9850,STU-173,HST-055,Rats in the kitchen area.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,Resolved
CMP-2024-7070,STU-156,HST-018,Canteen staff not serving on time.,Staff Behavior,Cook,Medium,Counsel the staff member; involve owner if repeated.,Resolved
CMP-2026-6876,STU-027,HST-066,People running and stomping upstairs.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-1349,STU-158,HST-065,"Bed frame creaking loudly, needs oiling.",Maintenance,Furniture,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-4538,STU-032,HST-073,"Window latch broken, cannot close properly.",Maintenance,AC,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-9850,STU-082,HST-017,Construction noise from next building all day.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-6304,STU-124,HST-027,Outsider came inside without permission.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,In Progress
CMP-2025-8344,STU-103,HST-030,"Bed frame creaking loudly, needs oiling.",Maintenance,Electrical,Medium,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2026-9543,STU-163,HST-058,Roommate's friends hang out in our room all the time.,Roommate Issue,Cleanliness,High,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-8267,STU-141,HST-061,My laptop was stolen from room.,Safety/Security,Security Guard,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-6327,STU-110,HST-074,Bathroom mirror and sink are never cleaned.,Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2026-4522,STU-129,HST-047,Warden threatened to fine for a minor rule.,Staff Behavior,Cleaner,High,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2025-7992,STU-076,HST-016,Security guard uses offensive language.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2024-8075,STU-099,HST-058,Constant arguments with roommate.,Roommate Issue,Guests,High,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-3002,STU-105,HST-072,Common washroom is very dirty and smelly.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2026-4485,STU-154,HST-019,Canteen staff not serving on time.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-4705,STU-067,HST-004,Very little chicken/vegetables served.,Food Quality,Portion Size,Medium,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-6751,STU-002,HST-063,Warden doesn't listen to complaints.,Staff Behavior,Warden,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-2503,STU-189,HST-019,Light bulb fused in corridor near Room 390.,Maintenance,Electrical,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2025-2391,STU-046,HST-050,No place to dry clothes inside.,Other,Suggestion,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2025-8242,STU-144,HST-054,Light bulb fused in corridor near Room 126.,Maintenance,Electrical,High,Assign technician to fix the issue within 24 hours.,Acknowledged
CMP-2026-8972,STU-006,HST-055,Security guard uses offensive language.,Staff Behavior,Cleaner,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-3248,STU-014,HST-045,Curfew time is too early for exam preparation.,Other,Room Change,Medium,Review student request and respond within 48 hours.,Submitted
CMP-2025-9725,STU-097,HST-036,Feeling unsafe due to unverified visitors.,Safety/Security,CCTV Issue,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2024-6129,STU-154,HST-020,Door banging repeatedly.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2026-8538,STU-034,HST-047,Canteen staff not serving on time.,Staff Behavior,Security,High,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-6083,STU-139,HST-024,Roommate uses my phone charger without permission.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,Submitted
CMP-2024-6724,STU-172,HST-063,Constant arguments with roommate.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-2234,STU-144,HST-052,Roommate smokes in the room.,Roommate Issue,Noise,Medium,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2026-6295,STU-186,HST-050,Canteen staff not wearing gloves.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2026-1920,STU-156,HST-029,Roommate's friends hang out in our room all the time.,Roommate Issue,Noise,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2024-2479,STU-147,HST-046,Roommate brings food and leaves plates for days.,Roommate Issue,Cleanliness,High,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-4084,STU-115,HST-058,Need a warmer blanket for winter.,Other,Curfew,Medium,Review student request and respond within 48 hours.,In Progress
CMP-2026-2381,STU-131,HST-038,My stuff used without asking.,Roommate Issue,Personal Space,Low,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-3600,STU-188,HST-011,Curfew time is too early for exam preparation.,Other,Suggestion,Low,Review student request and respond within 48 hours.,Submitted
CMP-2026-6482,STU-087,HST-005,Roommate brings food and leaves plates for days.,Roommate Issue,Guests,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-3463,STU-050,HST-001,Dustbins overflowing near corridor.,Cleanliness,Common Area,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2024-6072,STU-069,HST-070,My stuff used without asking.,Roommate Issue,Cleanliness,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2026-6928,STU-038,HST-041,My mattress is too old and uncomfortable.,Other,Curfew,Medium,Review student request and respond within 48 hours.,Acknowledged
CMP-2024-3253,STU-055,HST-072,"Bed frame creaking loudly, needs oiling.",Maintenance,AC,Low,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2024-6517,STU-120,HST-035,Food is cold when served.,Food Quality,Spoilage/Poisoning,Low,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-1715,STU-174,HST-057,Bread/chapati are undercooked.,Food Quality,Portion Size,Low,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2024-9749,STU-050,HST-027,Security guard uses offensive language.,Staff Behavior,Cleaner,Low,Counsel the staff member; involve owner if repeated.,In Progress
CMP-2025-7256,STU-101,HST-043,People running and stomping upstairs.,Noise/Disturbance,Roommate Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2025-7081,STU-042,HST-014,Need permission to keep a bicycle inside.,Other,Curfew,Low,Review student request and respond within 48 hours.,Submitted
CMP-2024-8167,STU-186,HST-070,I want to change my room.,Other,General,Medium,Review student request and respond within 48 hours.,Resolved
CMP-2024-7326,STU-048,HST-046,Bedsheets not changed for two weeks.,Cleanliness,Bathroom,High,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2024-3254,STU-059,HST-037,Cockroaches in Room 115.,Cleanliness,Common Area,Low,Schedule housekeeping to clean the area immediately.,Acknowledged
CMP-2024-1311,STU-174,HST-069,"Fan regulator broken, fan running at full speed.",Maintenance,AC,Medium,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2025-4893,STU-163,HST-064,CCTV camera not working near entrance.,Safety/Security,Unauthorized Entry,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-9782,STU-129,HST-044,My laptop was stolen from room.,Safety/Security,Theft,High,Investigate immediately; if serious call police.,Submitted
CMP-2025-4941,STU-143,HST-017,Cupboard door off its hinges.,Maintenance,Other Maintenance,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-1333,STU-052,HST-050,Cook refuses to serve extra roti.,Staff Behavior,Cook,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-6649,STU-181,HST-055,Warden is very rude when approached.,Staff Behavior,Security,Low,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2025-3868,STU-161,HST-011,My roommate plays loud music after 11 PM.,Noise/Disturbance,External Noise,Medium,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-5807,STU-169,HST-057,Warden asking for extra money for repairs.,Billing/Payment Dispute,Unexpected Fee,Low,Review charges with account; provide receipt.,Resolved
CMP-2026-8756,STU-050,HST-018,Talking loudly in corridor after quiet hours.,Noise/Disturbance,Night Noise,Medium,Warn the noisy party and enforce quiet hours.,Resolved
CMP-2024-7029,STU-069,HST-057,Security guard often missing after 10 PM.,Safety/Security,Theft,Medium,Investigate immediately; if serious call police.,Submitted
CMP-2026-5369,STU-106,HST-038,Warden threatened to fine for a minor rule.,Staff Behavior,Security,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2024-6372,STU-023,HST-027,Dustbins overflowing near corridor.,Cleanliness,Pest Control,Medium,Schedule housekeeping to clean the area immediately.,Submitted
CMP-2025-1693,STU-090,HST-036,Emergency exit blocked with boxes.,Safety/Security,CCTV Issue,High,Investigate immediately; if serious call police.,Submitted
CMP-2026-3621,STU-118,HST-024,Roommate brings food and leaves plates for days.,Roommate Issue,Personal Space,Medium,Mediate between roommates; offer room change if needed.,In Progress
CMP-2025-6933,STU-172,HST-050,Water leakage from ceiling during rain.,Maintenance,Electrical,High,Assign technician to fix the issue within 24 hours.,In Progress
CMP-2024-9674,STU-125,HST-016,Cleaner shouted at me for no reason.,Staff Behavior,Warden,Medium,Counsel the staff member; involve owner if repeated.,Submitted
CMP-2026-7340,STU-195,HST-053,Constant arguments with roommate.,Roommate Issue,Personal Space,High,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-9047,STU-114,HST-043,Request for a separate study table.,Other,General,Medium,Review student request and respond within 48 hours.,Acknowledged
CMP-2024-6236,STU-059,HST-013,Construction noise from next building all day.,Noise/Disturbance,Night Noise,Low,Warn the noisy party and enforce quiet hours.,Submitted
CMP-2024-4292,STU-105,HST-043,Roommate brings food and leaves plates for days.,Roommate Issue,Cleanliness,Low,Mediate between roommates; offer room change if needed.,Submitted
CMP-2026-3126,STU-167,HST-070,Canteen staff not wearing gloves.,Food Quality,Taste,Medium,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-2208,STU-060,HST-059,"Mosquitoes everywhere, no nets provided.",Cleanliness,Room Cleaning,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2026-3981,STU-017,HST-050,"Dal has a weird smell, looks old.",Food Quality,Hygiene,Medium,Inspect kitchen and food storage; check hygiene.,In Progress
CMP-2025-4694,STU-061,HST-050,Fruit provided is rotten.,Food Quality,Portion Size,High,Inspect kitchen and food storage; check hygiene.,Submitted
CMP-2026-9740,STU-197,HST-035,Roommate has guests late at night.,Roommate Issue,Guests,Medium,Mediate between roommates; offer room change if needed.,Acknowledged
CMP-2026-6531,STU-112,HST-016,Trash piled up near the entrance.,Cleanliness,Bathroom,Medium,Schedule housekeeping to clean the area immediately.,In Progress
CMP-2026-7825,STU-107,HST-021,AC not cooling properly in Room 124.,Maintenance,Plumbing,High,Assign technician to fix the issue within 24 hours.,Submitted
CMP-2026-7653,STU-114,HST-067,Cupboard door off its hinges.,Maintenance,Furniture,Medium,Assign technician to fix the issue within 24 hours.,In Progress
